"ThresholdSillHingeHoleId","IdThresholdSill","ThresholdSillHingeHoleDepth","ThresholdSillHingeHoleShape","ThresholdSillHingeHoleRadius","ThresholdSillHingeHoleWidth","ThresholdSillHingeHoleLength","ThresholdSillHingeMaterial","OpeningId","Type","PeculiarType","HouseId","BiggerAreaRoom","PassingStandingBiggerRoom","BiggerAreaRoomType","Bigger Area RoomM2","SmallerAreaRoom","PassingStandingSmallerRoom","SmallerAreaRoomType","SmallerAreaRoomM2","Width","Height","Length","LevelOfPreservation","IdThresholdSill:1","IdLintel","Floor","DistancefromGround","FrameTrace","LintelType","Facing","HouseId:1","HouseType","Date","Period","Town","DataMethod","TotalSquareMeter","IdThresholdSill:2","ThresholdSillLength","ThresholdSillWidth","ThresholdSillThickness","ThresholdSillMaterial","ThresholdSillType","ThresholdSillDoorstopWidth","ThresholdSillTenonHoleNumber","ThresholdSillHingeHoleNumber","ThresholdSillBoltHoleNumber","ThresholdSillShutterErosion","ThresholdSillFoldingDoorChannel","IdLintel:1","LintelLength","LintelWidth","LintelThickness","LintelMaterial","LintelDoorstopWidth","LintelTenonHoleNumber","LintelHingeHoleNumber","LintelBoltHoleNumber"
"L1HT0002","T0002",NA,"SQUARED",NA,12,8.5,"NO TRACE",2,"DOORWAY","NO","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","COURT","STANDING","OPEN SPACES",66.78,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",35.8,159,NA,52,2,"T0002",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","DOMUS","I-II AD","MIDDLE EMPIRE","VERONA","BOTH",NA,"T0002",53,157,NA,NA,"E",15,1,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0004","T0004",NA,"SQUARED",NA,9,6.5,"NO TRACE",4,"DOORWAY","NO","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","RECEPTION ROOM","STANDING","PUBLIC ROOM",72.16,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",NA,103,NA,51,2,"T0004",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","DOMUS","I-II AD","MIDDLE EMPIRE","VERONA","BOTH",NA,"T0004",55,98,NA,NA,"D",16,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0004","T0004",NA,"SQUARED",NA,7.5,7.5,"NO TRACE",4,"DOORWAY","NO","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","RECEPTION ROOM","STANDING","PUBLIC ROOM",72.16,"UNKNOWN ROOM","STANDING","UNKNOWN ROOM",NA,103,NA,51,2,"T0004",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL ISTITUTO DI  FOTOGRAFIA","DOMUS","I-II AD","MIDDLE EMPIRE","VERONA","BOTH",NA,"T0004",55,98,NA,NA,"D",16,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0005","T0005",3,"SQUARED",NA,8,7.5,"NO TRACE",5,"DOORWAY","NO","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","COURT","STANDING","OPEN SPACES",NA,"RECEPTION ROOM","STANDING","PUBLIC ROOM",24.96,276,NA,52,2,"T0005",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","SURVEY",NA,"T0005",55,288,NA,"LIMESTONE","D",13,2,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0005","T0005",3,"SQUARED",NA,8,8,"NO TRACE",5,"DOORWAY","NO","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","COURT","STANDING","OPEN SPACES",NA,"RECEPTION ROOM","STANDING","PUBLIC ROOM",24.96,276,NA,52,2,"T0005",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","SURVEY",NA,"T0005",55,288,NA,"LIMESTONE","D",13,2,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0006","T0006",3,"SQUARED",NA,8,8,"IRON",6,"DOORWAY","NO","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","RECEPTION ROOM","STANDING","PUBLIC ROOM",23.69,"CORRIDOR","PASSING","PUBLIC ROOM",6.65,150,NA,NA,1,"T0006",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","SURVEY",NA,"T0006",41,152,NA,"LIMESTONE","A",14,0,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0007","T0007",NA,"ROUND",3.5,NA,NA,"NO TRACE",7,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","RECEPTION ROOM","STANDING","PUBLIC ROOM",22.35,"RECEPTION ROOM","STANDING","PUBLIC ROOM",12,103,NA,30,2,"T0007",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0007",45,103,NA,"LIMESTONE","A",15,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0007","T0007",NA,"ROUND",3.5,NA,NA,"NO TRACE",7,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","RECEPTION ROOM","STANDING","PUBLIC ROOM",22.35,"RECEPTION ROOM","STANDING","PUBLIC ROOM",12,103,NA,30,2,"T0007",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0007",45,103,NA,"LIMESTONE","A",15,0,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0009","T0009",NA,"SQUARED",NA,9.5,7.5,"NO TRACE",9,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","COURT","STANDING","OPEN SPACES",73.21,"RECEPTION ROOM","STANDING","PUBLIC ROOM",10.77,253,NA,33,2,"T0009",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0009",33,252,NA,"LIMESTONE","D",9,2,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0009","T0009",NA,"SQUARED",NA,9.5,7.5,"NO TRACE",9,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","COURT","STANDING","OPEN SPACES",73.21,"RECEPTION ROOM","STANDING","PUBLIC ROOM",10.77,253,NA,33,2,"T0009",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0009",33,252,NA,"LIMESTONE","D",9,2,2,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0010","T0010",NA,"SQUARED",NA,7.5,7.5,"NO TRACE",10,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","COURT","STANDING","OPEN SPACES",73.21,"RECEPTION ROOM","STANDING","PUBLIC ROOM",12.28,225,NA,33,2,"T0010",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0010",30,240,NA,"LIMESTONE","E",8,1,1,0,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0011","T0011",NA,"ROUND",3.5,NA,NA,"NO TRACE",11,"DOORWAY","NO","DOMUS DI PIAZZA NOGARA","COURT","STANDING","OPEN SPACES",73.21,"RECEPTION ROOM","STANDING","PUBLIC ROOM",25.64,107,NA,43,2,"T0011",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DI PIAZZA NOGARA","DOMUS","I BC-III AD","MIDDLE EMPIRE","VERONA","BOTH",365,"T0011",43,107,NA,"LIMESTONE","E",15,2,1,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0045","T0045",1.5,"ROUND",3.5,NA,NA,"NO TRACE",45,"DOORWAY","NO","DOMUS DEL CRIPTOPORTICO","CRYPTOPORTICUS","PASSING","PUBLIC ROOM",54.5,"STORAGE CLOSET","STANDING","SERVICE ROOM",12.52,134,170,40,4,"T0045","L0045","UG",NA,"NO","A","INSIDE","DOMUS DEL CRIPTOPORTICO","DOMUS","I AD","EARLY EMPIRE","VICENZA","SURVEY",NA,"T0045",58,124,30,"LIMESTONE","D",18,2,1,1,"NO","NO","L0045",124,58,30,"LIMESTONE",18,2,1,0
"L1HT0049","T0049",1.5,"ROUND",3,NA,NA,"NO TRACE",49,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",8.14,"CUBICULUM","STANDING","PRIVATE ROOM",4.1,114,NA,27,2,"T0049",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0049",97,27,20,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1HT0049","T0049",1.5,"ROUND",3,NA,NA,"NO TRACE",1833,"DOORWAY","NO","DOMUS DELLE FONTANE 2","CORRIDOR","PASSING","PUBLIC ROOM",8.14,"CUBICULUM","STANDING","PRIVATE ROOM",4.1,114,NA,27,2,"T0049",NA,"G",NA,NA,NA,"INSIDE","DOMUS DELLE FONTANE 2","DOMUS","III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",541,"T0049",97,27,20,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1HT0049","T0049",1.5,"ROUND",3,NA,NA,"NO TRACE",49,"DOORWAY","NO","DOMUS DELLE FONTANE 1","CORRIDOR","PASSING","PUBLIC ROOM",8.14,"CUBICULUM","STANDING","PRIVATE ROOM",4.1,114,NA,27,2,"T0049",NA,"G",NA,"NO",NA,"INSIDE","DOMUS DELLE FONTANE 1","DOMUS","I BC-III AD","MIDDLE EMPIRE","BRESCIA","SURVEY",595,"T0049",97,27,20,"LIMESTONE","D",8,0,2,1,"NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
