OpeningId,Type,PeculiarType,HouseId,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Facing,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Length,LevelOfPreservation,IdThresholdSill,IdLintel,Floor,DistancefromGround,FrameTrace,LintelType,HouseType,Date,Period,Town,DataMethod,TotalSquareMeter,IdThresholdSill:1,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel
1,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,INSIDE,,CORRIDOR,PASSING,PUBLIC ROOM,,128,,50,2,T0001,,G,,NO,,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,BOTH,,T0001,53,128,,,D,165,2,0,0,NO,NO
2,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,COURT,STANDING,OPEN SPACES,OUTSIDE,66.78,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,35.8,159,,52,2,T0002,,G,,NO,,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,BOTH,,T0002,53,157,,,E,15,1,1,0,NO,NO
3,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,INSIDE,,CORRIDOR,PASSING,PUBLIC ROOM,,,,42,1,T0003,,G,,NO,,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,BOTH,,T0003,45,,,,A,14,0,0,1,NO,NO
4,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,72.16,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,,103,,51,2,T0004,,G,,NO,,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,BOTH,,T0004,55,98,,,D,16,0,2,0,NO,NO
5,DOORWAY,NO,DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU,COURT,STANDING,OPEN SPACES,OUTSIDE,,RECEPTION ROOM,STANDING,PUBLIC ROOM,24.96,276,,52,2,T0005,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,SURVEY,,T0005,55,288,,LIMESTONE,D,135,2,2,0,NO,NO
6,DOORWAY,NO,DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,23.69,CORRIDOR,PASSING,PUBLIC ROOM,6.65,150,,,1,T0006,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,SURVEY,,T0006,41,152,,LIMESTONE,A,14,0,1,0,NO,NO
7,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,RECEPTION ROOM,STANDING,PUBLIC ROOM,INSIDE,22.35,RECEPTION ROOM,STANDING,PUBLIC ROOM,12,103,,30,2,T0007,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,BOTH,365,T0007,45,103,,LIMESTONE,A,15,0,2,0,NO,NO
8,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,COURT,STANDING,OPEN SPACES,OUTSIDE,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.35,140,,54,2,T0008,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,BOTH,365,T0008,69,139,,LIMESTONE,E,84,3,0,0,NO,NO
9,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,COURT,STANDING,OPEN SPACES,OUTSIDE,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,10.77,253,,33,2,T0009,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,BOTH,365,T0009,33,252,,LIMESTONE,D,95,2,2,0,NO,NO
10,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,COURT,STANDING,OPEN SPACES,OUTSIDE,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,12.28,225,,33,2,T0010,,G,,NO,,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,BOTH,365,T0010,30,240,,LIMESTONE,E,8,1,1,0,NO,NO
