Opening Id;Type;Peculiar Type;House Id;Bigger Area Room;Passing Standing Bigger Room;Bigger Area Room Type;Bigger Area Room m2;Smaller Area Room;Passing Standing Smaller Room;Smaller Area Room Type;Smaller Area Room m2;Width (cm);Height (cm);Length (cm);Level of Preservation;Id Threshold Sill;Id Lintel;Floor;Distance from Ground (cm);Frame Trace;Lintel Type;House Id:1;House Type;Date;Period;Town;Data Method;Total Square Meter (m2);Id Lintel:1;Lintel Length (cm);Lintel Width (cm);Lintel Thickness (cm);Lintel Material;Lintel Doorstop Width (cm);Lintel Tenon Hole Number;Lintel Hinge Hole Number;Lintel Bolt Hole Number;Id Threshold Sill:1;Threshold Sill Length (cm);Threshold Sill Width (cm);Threshold Sill Thickness (cm);Threshold Sill Material;Threshold Sill Type;Threshold Sill Doorstop Width (cm);Threshold Sill Tenon Hole Number;Threshold Sill Hinge Hole Number;Threshold Sill Bolt Hole Number;Threshold Sill Shutter Erosion;Threshold Sill Folding Door Channel;Outside_Inside
1;DOORWAY;NO;DOMUS DELL ISTITUTO DI FOTOGRAFIA;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;;CORRIDOR;PASSING;PUBLIC ROOM;;128;;50;2;T0001;;G;;NO;n.a.;DOMUS DELL ISTITUTO DI FOTOGRAFIA;DOMUS;I-II AD;MIDDLE EMPIRE;VERONA;BOTH;n.a;;;;;;;;;;T0001;53;128;;n.a.;D;165;2;0;0;NO;NO;INSIDE
2;DOORWAY;NO;DOMUS DELL ISTITUTO DI FOTOGRAFIA;COURT;STANDING;OPEN SPACES;6678;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;358;159;;52;2;T0002;;G;;NO;n.a.;DOMUS DELL ISTITUTO DI FOTOGRAFIA;DOMUS;I-II AD;MIDDLE EMPIRE;VERONA;BOTH;n.a;;;;;;;;;;T0002;53;157;;n.a.;E;15;1;1;0;NO;NO;INSIDE
4;DOORWAY;NO;DOMUS DELL ISTITUTO DI FOTOGRAFIA;RECEPTION ROOM;STANDING;PUBLIC ROOM;7216;UNKNOWN ROOM;STANDING;UNKNOWN ROOM;;103;;51;2;T0004;;G;;NO;n.a.;DOMUS DELL ISTITUTO DI FOTOGRAFIA;DOMUS;I-II AD;MIDDLE EMPIRE;VERONA;BOTH;n.a;;;;;;;;;;T0004;55;98;;n.a.;D;16;0;2;0;NO;NO;INSIDE
5;DOORWAY;NO;DOMUS DELL ISTITUTO DELLE FIGLIE DI GESU;COURT;STANDING;OPEN SPACES;;RECEPTION ROOM;STANDING;PUBLIC ROOM;2496;276;;52;2;T0005;;G;;NO;n.a.;DOMUS DELL ISTITUTO DELLE FIGLIE DI GESU;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;SURVEY;n.a;;;;;;;;;;T0005;55;288;;LIMESTONE;D;135;2;2;0;NO;NO;INSIDE
6;DOORWAY;NO;DOMUS DELL ISTITUTO DELLE FIGLIE DI GESU;RECEPTION ROOM;STANDING;PUBLIC ROOM;2369;CORRIDOR;PASSING;PUBLIC ROOM;665;150;;;1;T0006;;G;;NO;n.a.;DOMUS DELL ISTITUTO DELLE FIGLIE DI GESU;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;SURVEY;n.a;;;;;;;;;;T0006;41;152;;LIMESTONE;A;14;0;1;0;NO;NO;INSIDE
7;DOORWAY;NO;DOMUS DI PIAZZA NOGARA;RECEPTION ROOM;STANDING;PUBLIC ROOM;2235;RECEPTION ROOM;STANDING;PUBLIC ROOM;12;103;;30;2;T0007;;G;;NO;n.a.;DOMUS DI PIAZZA NOGARA;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;BOTH;365;;;;;;;;;;T0007;45;103;;LIMESTONE;A;15;0;2;0;NO;NO;INSIDE
8;DOORWAY;NO;DOMUS DI PIAZZA NOGARA;COURT;STANDING;OPEN SPACES;7321;RECEPTION ROOM;STANDING;PUBLIC ROOM;2235;140;;54;2;T0008;;G;;NO;n.a.;DOMUS DI PIAZZA NOGARA;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;BOTH;365;;;;;;;;;;T0008;69;139;;LIMESTONE;E;84;3;0;0;NO;NO;INSIDE
9;DOORWAY;NO;DOMUS DI PIAZZA NOGARA;COURT;STANDING;OPEN SPACES;7321;RECEPTION ROOM;STANDING;PUBLIC ROOM;1077;253;;33;2;T0009;;G;;NO;n.a.;DOMUS DI PIAZZA NOGARA;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;BOTH;365;;;;;;;;;;T0009;33;252;;LIMESTONE;D;95;2;2;0;NO;NO;INSIDE
10;DOORWAY;NO;DOMUS DI PIAZZA NOGARA;COURT;STANDING;OPEN SPACES;7321;RECEPTION ROOM;STANDING;PUBLIC ROOM;1228;225;;33;2;T0010;;G;;NO;n.a.;DOMUS DI PIAZZA NOGARA;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;BOTH;365;;;;;;;;;;T0010;30;240;;LIMESTONE;E;8;1;1;0;NO;NO;INSIDE
11;DOORWAY;NO;DOMUS DI PIAZZA NOGARA;COURT;STANDING;OPEN SPACES;7321;RECEPTION ROOM;STANDING;PUBLIC ROOM;2564;107;;43;2;T0011;;G;;NO;n.a.;DOMUS DI PIAZZA NOGARA;DOMUS;I BC-III AD;MIDDLE EMPIRE;VERONA;BOTH;365;;;;;;;;;;T0011;43;107;;LIMESTONE;E;153;2;1;1;NO;NO;INSIDE
