OpeningId,Type,PeculiarType,HouseId,HouseType,Date,Period,Town,BiggerAreaRoom,PassingStandingBiggerRoom,BiggerAreaRoomType,Bigger Area RoomM2,SmallerAreaRoom,PassingStandingSmallerRoom,SmallerAreaRoomType,SmallerAreaRoomM2,Width,Height,Facing,Floor,DistancefromGround,IdThresholdSill,ThresholdSillLength,ThresholdSillWidth,ThresholdSillThickness,ThresholdSillMaterial,ThresholdSillType,ThresholdSillDoorstopWidth,ThresholdSillTenonHoleNumber,ThresholdSillHingeHoleNumber,ThresholdSillBoltHoleNumber,ThresholdSillShutterErosion,ThresholdSillFoldingDoorChannel,FrameTrace,LintelType,IdLintel,LintelLength,LintelWidth,LintelThickness,LintelMaterial,LintelDoorstopWidth,LintelTenonHoleNumber,LintelHingeHoleNumber,LintelBoltHoleNumber
1,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,,CORRIDOR,PASSING,PUBLIC ROOM,,128,,INSIDE,G,,T0001,53,128,,,D,165,2,0,0,NO,NO,NO,,,,,,,,,,
2,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,66.78,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,35.8,159,,INSIDE,G,,T0002,53,157,,,E,15,1,1,0,NO,NO,NO,,,,,,,,,,
3,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,,CORRIDOR,PASSING,PUBLIC ROOM,,,,INSIDE,G,,T0003,45,,,,A,14,0,0,1,NO,NO,NO,,,,,,,,,,
4,DOORWAY,NO,DOMUS DELL ISTITUTO DI  FOTOGRAFIA,DOMUS,I-II AD,MIDDLE EMPIRE,VERONA,RECEPTION ROOM,STANDING,PUBLIC ROOM,72.16,UNKNOWN ROOM,STANDING,UNKNOWN ROOM,,103,,INSIDE,G,,T0004,55,98,,,D,16,0,2,0,NO,NO,NO,,,,,,,,,,
5,DOORWAY,NO,DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,,RECEPTION ROOM,STANDING,PUBLIC ROOM,24.96,276,,INSIDE,G,,T0005,55,288,,LIMESTONE,D,135,2,2,0,NO,NO,NO,,,,,,,,,,
6,DOORWAY,NO,DOMUS DELL' ISTITUTO DELLE FIGLIE DI GESU,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,RECEPTION ROOM,STANDING,PUBLIC ROOM,23.69,CORRIDOR,PASSING,PUBLIC ROOM,6.65,150,,INSIDE,G,,T0006,41,152,,LIMESTONE,A,14,0,1,0,NO,NO,NO,,,,,,,,,,
7,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.35,RECEPTION ROOM,STANDING,PUBLIC ROOM,12,103,,INSIDE,G,,T0007,45,103,,LIMESTONE,A,15,0,2,0,NO,NO,NO,,,,,,,,,,
8,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,22.35,140,,INSIDE,G,,T0008,69,139,,LIMESTONE,E,84,3,0,0,NO,NO,NO,,,,,,,,,,
9,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,10.77,253,,INSIDE,G,,T0009,33,252,,LIMESTONE,D,95,2,2,0,NO,NO,NO,,,,,,,,,,
10,DOORWAY,NO,DOMUS DI PIAZZA NOGARA,DOMUS,I BC-III AD,MIDDLE EMPIRE,VERONA,COURT,STANDING,OPEN SPACES,73.21,RECEPTION ROOM,STANDING,PUBLIC ROOM,12.28,225,,INSIDE,G,,T0010,30,240,,LIMESTONE,E,8,1,1,0,NO,NO,NO,,,,,,,,,,
