Opening Id,Type,Peculiar Type,House Id,Bigger Area Room,Outside Inside Facing,Passing Standing Bigger Room,Bigger Area Room Type,Bigger Area Room m2,Smaller Area Room,Passing Standing Smaller Room,Smaller Area Room Type,Smaller Area Room m2,Width (cm),Height (cm),Length (cm),Level of Preservation,Id Threshold Sill,Id Lintel,Floor,Distance from Ground (cm),Frame Trace,Lintel Type,House Id:1,House Type,Date,Period,Town,Data Method,Total Square Meter (m2),Id Lintel:1,Lintel Length (cm),Lintel Width (cm),Lintel Thickness (cm),Lintel Material,Lintel Doorstop Width (cm),Lintel Tenon Hole Number,Lintel Hinge Hole Number,Lintel Bolt Hole Number,Id Threshold Sill:1,Threshold Sill Length (cm),Threshold Sill Width (cm),Threshold Sill Thickness (cm),Threshold Sill Material,Threshold Sill Type,Threshold Sill Doorstop Width (cm),Threshold Sill Tenon Hole Number,Threshold Sill Hinge Hole Number,Threshold Sill Bolt Hole Number,Threshold Sill Shutter Erosion,Threshold Sill Folding Door Channel
12,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,204,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
13,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,202,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
14,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,208,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
15,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
16,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
17,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
18,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
19,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
20,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
21,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
22,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
23,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
24,WINDOW,WOLF MOUTH WINDOW,DOMUS DEL CRIPTOPORTICO,GARDEN,INSIDE,STANDING,OPEN SPACES,,CRYPTOPORTICUS,PASSING,PUBLIC ROOM,54.5,44,74,40,4,,,UG,216,NO,A,DOMUS DEL CRIPTOPORTICO,DOMUS,I AD,EARLY EMPIRE,VICENZA,SURVEY,,,,,,,,,,,,,,,,,,,,,,
